blok,perlakuan,tinggi_cm
B1,Kontrol,23.46902484461088
B1,Pupuk_A,29.708053856508016
B1,Pupuk_B,30.30322980708084
B1,Pupuk_C,37.023015335437584
B2,Kontrol,24.897214071758246
B2,Pupuk_A,27.663049115236124
B2,Pupuk_B,31.53298393700015
B2,Pupuk_C,35.96227123499371
B3,Kontrol,22.60264505488871
B3,Pupuk_A,25.144416852075043
B3,Pupuk_B,30.619342635239256
B3,Pupuk_C,32.402621530686254
B4,Kontrol,24.610087095842175
B4,Pupuk_A,26.911496470560095
B4,Pupuk_B,31.95159949344907
B4,Pupuk_C,35.23183407850487
B5,Kontrol,23.301366733939222
B5,Pupuk_A,28.054687860676328
B5,Pupuk_B,28.397981545757233
B5,Pupuk_C,30.82355763821558
