blok,pupuk,cahaya,tinggi_cm
B1,Organik,Rendah,18.797380389728023
B1,Organik,Sedang,23.23721095275418
B1,Organik,Tinggi,29.227043749264293
B1,Anorganik,Rendah,18.80447465394642
B1,Anorganik,Sedang,29.658152008198158
B1,Anorganik,Tinggi,34.39038161333981
B2,Organik,Rendah,23.5440860418758
B2,Organik,Sedang,25.919592740857752
B2,Organik,Tinggi,29.71403697106584
B2,Anorganik,Rendah,22.528163820662286
B2,Anorganik,Sedang,31.636619300598404
B2,Anorganik,Tinggi,36.93313395013554
B3,Organik,Rendah,21.816174787270906
B3,Organik,Sedang,22.384475304467554
B3,Organik,Tinggi,26.890589334904853
B3,Anorganik,Rendah,20.751865113612812
B3,Anorganik,Sedang,28.687531016578554
B3,Anorganik,Tinggi,32.601475442055474
B4,Organik,Rendah,22.794340499746276
B4,Organik,Sedang,26.098496349766585
B4,Organik,Tinggi,29.86176494406596
B4,Anorganik,Rendah,25.03874794752453
B4,Anorganik,Sedang,30.103978222923367
B4,Anorganik,Tinggi,37.71210103902144
