blok,irigasi,pupuk,tinggi_cm
B1,Rendah,P1,18.47421411059983
B1,Rendah,P2,24.206327083918417
B1,Rendah,P3,22.416086403152104
B1,Tinggi,P1,23.863191155350762
B1,Tinggi,P2,27.63773492503431
B1,Tinggi,P3,32.37580549899776
B2,Rendah,P1,18.49310071790605
B2,Rendah,P2,19.83654791757472
B2,Rendah,P3,24.698455586636474
B2,Tinggi,P1,21.48856610382181
B2,Tinggi,P2,24.66068350457543
B2,Tinggi,P3,33.826885699645246
B3,Rendah,P1,19.0717698410337
B3,Rendah,P2,17.89153186822074
B3,Rendah,P3,24.222889979639834
B3,Tinggi,P1,20.95860310085296
B3,Tinggi,P2,27.168711340038666
B3,Tinggi,P3,31.368464293073664
B4,Rendah,P1,19.640470725900816
B4,Rendah,P2,23.618724597409766
B4,Rendah,P3,21.505399797451172
B4,Tinggi,P1,25.718390005067434
B4,Tinggi,P2,25.688533262869132
B4,Tinggi,P3,30.66217949175892
